region,division,track_id,km_marker,component_type,installation_date,serial_number,material,size,manufacturer
WR,BCT,21,114320,BOLT,23-04-2025,1001,Steel,M20,Railway Component Co.
CR,CSMT,105,89450,CLIP,05-10-2025,2001,Steel,Standard,Track Solutions Ltd.
NR,DLI,67,234100,PLATE,12-10-2025,3001,Steel,Heavy Duty,Northern Rails Inc.
ER,HWH,45,156780,SLEEPER,21-10-2025,4001,Concrete,Standard,Eastern Rail Components
SR,MAS,89,234560,ANCHOR,03-11-2025,5001,Steel,Heavy Duty,Southern Track Works
WR,VAPI,12,78920,BOLT,15-11-2025,1002,Steel,M22,Western Component Mfg.
CR,NAGPUR,78,345670,CLIP,28-11-2025,2002,Steel,Standard,Central Rail Systems
NR,AMB,34,123450,PLATE,07-12-2025,3002,Steel,Heavy Duty,Northern Component Co.
ER,ASN,56,234890,SLEEPER,19-12-2025,4002,Concrete,Standard,Eastern Track Solutions
SR,TPJ,91,456780,ANCHOR,05-01-2026,5002,Steel,Heavy Duty,Southern Rail Works
